airbnb_listing_id,diaria_media,diaria_mediana,dias_ocupados,min_data,max_data,qtd_linhas
708045427082372124,1257.787234042553,1250.0,94,2025-01-13,2025-04-20,94
711032530664362412,171.9857142857143,149.0,35,2025-01-27,2025-04-06,35
716703779507124462,766.8055555555555,790.0,72,2025-01-13,2025-03-31,72
718922870189236806,2182.7586206896553,2100.0,29,2025-01-29,2025-03-31,29
719355891470345652,538.8653871794872,500.0,78,2025-01-28,2025-04-20,78
721143022842232721,501.94350338983054,500.0,59,2025-02-02,2025-04-06,59
721635424816164605,754.4406762711865,755.3333,59,2025-01-29,2025-04-20,59
725205326528652381,600.0,600.0,5,2025-01-27,2025-01-31,5
725867973010290782,496.04545454545456,480.0,66,2025-01-09,2025-04-20,66
728531681504670920,151.86936918918917,133.5,37,2025-01-26,2025-04-20,37
730437501239201082,668.5941469047619,708.33335,84,2025-01-27,2025-04-20,84
730503580289648392,787.5,775.0,10,2025-01-28,2025-03-04,10
730553947980169722,840.0138884615384,843.75,78,2025-02-01,2025-04-20,78
731853350375474350,705.5147058823529,700.0,34,2025-01-25,2025-04-20,34
732572931172602640,291.42857142857144,280.0,63,2025-02-07,2025-04-20,63
734707774394612996,1417.877358490566,1400.0,53,2025-01-29,2025-04-06,53
734774611454860165,582.51171875,625.0,64,2025-02-10,2025-04-20,64
734843676958831992,453.125,350.0,32,2025-01-24,2025-04-07,32
734991572208138176,277.9759036144578,280.0,83,2025-01-11,2025-04-05,83
735732850757918650,1293.0666657142856,927.6667,35,2025-02-26,2025-04-16,35
739015384619300207,1608.6896551724137,1604.0,58,2025-02-02,2025-03-31,58
739663897909156017,720.8333333333334,800.0,72,2025-01-12,2025-04-07,72
742262889162653132,177.01785714285714,180.0,56,2025-01-12,2025-03-31,56
744210382596366805,523.1515163636363,500.0,55,2025-01-31,2025-04-20,55
745632820094188215,735.875,800.0,16,2025-02-01,2025-03-09,16
746451645715267085,975.478021978022,900.0,91,2025-01-20,2025-04-20,91
748336742434217963,457.1363636363636,450.0,44,2025-01-21,2025-04-20,44
753461577197808016,883.2260273972603,980.0,73,2025-01-11,2025-03-31,73
753566944813003124,577.6916666666667,560.0,96,2025-01-15,2025-04-20,96
754141022905987471,639.06666625,600.0,80,2025-01-31,2025-04-20,80
754375397775403281,840.8788197916666,890.0,96,2025-01-07,2025-04-20,96
754796838418506202,574.4852941176471,600.0,68,2025-01-24,2025-04-20,68
756997201912524343,951.6546391752578,850.0,97,2025-01-14,2025-04-20,97
758758164947604865,153.90243902439025,170.0,82,2025-01-20,2025-04-20,82
760805979001764233,650.0,650.0,3,2025-01-24,2025-01-26,3
762112217871324562,525.7978147540983,490.0,61,2025-01-13,2025-04-17,61
762192750283483456,395.56965164179104,440.0,67,2025-01-20,2025-03-31,67
762916089194134311,1011.5384615384615,1000.0,104,2025-01-07,2025-04-20,104
766052072199682693,647.2105263157895,750.0,57,2025-02-12,2025-04-20,57
766156195693050227,1837.1415094339623,1897.0,53,2025-02-10,2025-04-07,53
766788707373767791,470.375,520.0,40,2025-02-09,2025-04-19,40
767407262472265686,747.6027397260274,700.0,73,2025-01-12,2025-04-17,73
768032727158094436,1200.0,1200.0,18,2025-03-19,2025-04-05,18
769009482417170004,570.56,480.0,75,2025-01-23,2025-04-20,75
769461318721075633,569.4444444444445,500.0,36,2025-02-12,2025-03-31,36
769616108652112172,363.3333333333333,350.0,33,2025-02-25,2025-04-07,33
770131545986036241,958.974358974359,900.0,78,2025-01-13,2025-04-20,78
771111761043546355,603.2666666666667,557.0,75,2025-02-04,2025-04-19,75
771134836709283777,357.8,300.0,15,2025-02-23,2025-04-07,15
772261416620745030,837.0243902439024,825.0,82,2025-01-18,2025-04-20,82
772706520794806760,450.0,450.0,9,2025-01-23,2025-01-31,9
778933432062496662,906.986301369863,950.0,73,2025-01-18,2025-04-20,73
779104726998664227,412.0,400.0,38,2025-01-31,2025-04-06,38
780376166619260652,529.4545454545455,429.0,44,2025-02-23,2025-04-07,44
780872235421635957,515.2386363636364,499.0,44,2025-01-15,2025-03-31,44
781223884036842600,364.758064516129,337.5,62,2025-02-11,2025-04-17,62
782548209247570691,667.3611111111111,700.0,54,2025-02-11,2025-04-20,54
782734966853311782,748.6962025316456,580.0,79,2025-01-21,2025-04-20,79
783879004243392314,658.8242201234568,650.0,81,2025-01-23,2025-04-20,81
784598714032826222,1184.9718338028167,1200.0,71,2025-01-14,2025-04-07,71
784836681288428817,377.38461538461536,370.0,65,2025-01-23,2025-04-07,65
785658004981722606,593.5253164556962,550.0,79,2025-01-17,2025-04-20,79
786307999394390316,595.7083333333334,550.0,72,2025-01-16,2025-04-20,72
786807324710664147,1143.6538461538462,850.0,52,2025-02-12,2025-04-17,52
787195284335262595,572.6693120634922,550.0,63,2025-02-02,2025-04-16,63
787606557854537606,626.1051307692308,584.6667,65,2025-01-16,2025-03-31,65
787847078680683474,388.73015873015873,330.0,63,2025-01-11,2025-04-20,63
790006111813482352,427.0147058823529,405.0,68,2025-01-18,2025-04-07,68
790431243381422888,959.4326923076923,1000.0,104,2025-01-07,2025-04-20,104
790518755885066166,812.156862745098,750.0,51,2025-01-09,2025-04-20,51
790752171303746450,533.9540229885057,500.0,87,2025-01-07,2025-04-20,87
791313913845076166,850.0,850.0,50,2025-02-09,2025-04-06,50
792096103347120988,448.74152542372883,450.0,59,2025-01-23,2025-04-06,59
792184367926408145,386.2631578947368,396.0,57,2025-02-17,2025-04-19,57
794707921952592251,152.96875,150.0,48,2025-01-28,2025-04-06,48
794710559970994170,505.6985294117647,500.0,68,2025-01-27,2025-04-20,68
794996321339600522,392.04477611940297,350.0,67,2025-01-26,2025-04-20,67
795495744056169046,897.3484848484849,800.0,66,2025-01-20,2025-04-20,66
795757968903961791,356.7328767123288,350.0,73,2025-01-24,2025-04-06,73
796481545034280714,582.8378378378378,580.0,74,2025-01-17,2025-04-20,74
797261187302809924,547.8066666666666,500.0,75,2025-01-11,2025-04-20,75
798475021925579344,326.0416666666667,300.0,48,2025-02-04,2025-04-06,48
798609957167332367,676.3888888888889,700.0,72,2025-01-20,2025-04-07,72
798631136594423222,1100.0,1100.0,56,2025-01-21,2025-04-07,56
799251513158018593,542.8698016666666,500.0,60,2025-02-20,2025-04-20,60
800942299109284552,316.44545454545454,300.0,55,2025-02-04,2025-04-19,55
801271167231006592,253.8666665,250.0,40,2025-03-12,2025-04-20,40
801611117719633492,470.2089552238806,400.0,67,2025-01-21,2025-04-20,67
802047490248101970,253.14285714285714,250.0,42,2025-03-10,2025-04-20,42
802357806571870530,654.9363636363636,680.0,55,2025-02-09,2025-04-20,55
802922826036667371,1210.9375,1200.0,64,2025-02-02,2025-04-06,64
803403468437987911,377.24657534246575,371.0,73,2025-01-08,2025-04-05,73
805381324514930766,783.30729125,750.0,32,2025-02-21,2025-04-05,32
805726391815686158,425.280701754386,399.0,57,2025-01-12,2025-04-17,57
806702099486447309,598.1911764705883,500.0,68,2025-01-31,2025-04-20,68
807400945391416643,635.8048780487804,450.0,41,2025-01-12,2025-04-19,41
807898347637042057,395.0,430.0,16,2025-03-23,2025-04-07,16
809946874989632205,380.00666666666666,370.0,75,2025-01-20,2025-04-20,75
811053746893495263,414.6666666666667,400.0,66,2025-01-21,2025-04-20,66
812231708820863156,658.8649431034484,500.0,58,2025-01-31,2025-04-16,58
813090046454458015,388.45238095238096,390.0,84,2025-01-23,2025-04-20,84
815806026505024003,897.2121212121212,900.0,33,2025-01-27,2025-03-17,33
816613605644920543,1982.608695652174,2100.0,92,2025-01-08,2025-04-17,92
821574780923920105,618.7777777777778,600.0,54,2025-02-15,2025-04-20,54
821920276390293366,673.7916666666666,650.0,48,2025-01-09,2025-04-11,48
822365439954007216,749.3875,800.0,80,2025-01-13,2025-04-20,80
826063757882656916,615.719512195122,516.0,82,2025-01-07,2025-04-19,82
826617189908528565,476.07948738461533,400.0,65,2025-01-20,2025-04-20,65
828036946101813387,341.3541666666667,251.25,24,2025-03-01,2025-04-20,24
831740758559247685,807.1176470588235,800.0,34,2025-02-21,2025-03-31,34
832123000813215722,505.28735632183907,490.0,87,2025-01-24,2025-04-20,87
834645644371228115,300.0,300.0,38,2025-01-22,2025-02-28,38
836385234465202348,1188.9583333333333,1040.0,48,2025-01-26,2025-03-31,48
836415940545761422,521.5916666666667,490.0,60,2025-01-29,2025-04-07,60
837646263953285868,473.134069117647,440.0,68,2025-01-18,2025-04-17,68
837846012155525926,411.3636363636364,400.0,44,2025-02-17,2025-04-05,44
839184834439414765,154.71428571428572,150.0,42,2025-01-31,2025-04-20,42
840525492567265584,1231.0681818181818,1000.0,44,2025-02-16,2025-04-17,44
